Prompt Number,title,Prompt,dataset,library,view_type,response
1,scatterplot+highlight,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region
Your task is to create a Scatterplot that visualizes the relationship between Energy Consumed and Cost. And add the following interactive function: when the mouse hovers over a specific data point, the value of the data point will be highlighted on the axis.
Use the following visualization library: ECharts.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
Hint: You can use the fetch() function to load data.","https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region",ECharts,advanced view,"```html
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Energy Consumption Scatterplot</title>
    <script src=""https://cdn.jsdelivr.net/npm/echarts/dist/echarts.min.js""></script>
</head>
<body>
    <div id=""main"" style=""width: 100%; height: 600px;""></div>
    <script>
        fetch('https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv')
            .then(response => response.text())
            .then(data => {
                const lines = data.split('\n').slice(1);
                const energyConsumed = [];
                const cost = [];
                
                lines.forEach(line => {
                    const cols = line.split(',');
                    if (cols.length >= 4) {
                        energyConsumed.push(parseFloat(cols[2])); // Energy Consumed
                        cost.push(parseFloat(cols[3])); // Cost
                    }
                });

                const chartDom = document.getElementById('main');
                const myChart = echarts.init(chartDom);
                
                const option = {
                    tooltip: {
                        trigger: 'item',
                        formatter: function (params) {
                            return `Energy Consumed: ${params.data[0]}<br/>Cost: ${params.data[1]}`;
                        }
                    },
                    xAxis: {
                        type: 'value',
                        name: 'Energy Consumed',
                    },
                    yAxis: {
                        type: 'value',
                        name: 'Cost',
                    },
                    series: [{
                        symbolSize: 10,
                        data: energyConsumed.map((ec, index) => [ec, cost[index]]),
                        type: 'scatter'
                    }]
                };

                myChart.setOption(option);
            });
    </script>
</body>
</html>
```"
2,scatterplot+brush,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region
Your task is to create a Scatterplot that visualizes the relationship between Energy Consumed and Cost. And add the following interactive functions: Brushing this Scatterplot will show the selected data points.
Use the following visualization library: ECharts.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
Hint: You can use the fetch() function to load data.","https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region",ECharts,advanced view,"```html
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Energy Consumption Scatterplot</title>
    <script src=""https://cdnjs.cloudflare.com/ajax/libs/echarts/5.3.3/echarts.min.js""></script>
    <style>
        #main {
            width: 100%;
            height: 600px;
        }
    </style>
</head>
<body>
    <div id=""main""></div>
    <script>
        fetch('https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv')
            .then(response => response.text())
            .then(data => {
                const rows = data.split('\n').slice(1);
                const energyData = rows.map(row => {
                    const cols = row.split(',');
                    return {
                        EnergyConsumed: parseFloat(cols[2]),
                        Cost: parseFloat(cols[3]),
                    };
                }).filter(d => !isNaN(d.EnergyConsumed) && !isNaN(d.Cost));

                const chartDom = document.getElementById('main');
                const myChart = echarts.init(chartDom);
                const option = {
                    title: {
                        text: 'Energy Consumed vs Cost',
                    },
                    tooltip: {},
                    xAxis: {
                        name: 'Energy Consumed',
                    },
                    yAxis: {
                        name: 'Cost',
                    },
                    series: [{
                        type: 'scatter',
                        symbolSize: 10,
                        data: energyData.map(d => [d.EnergyConsumed, d.Cost]),
                        itemStyle: {
                            color: '#5470c6',
                        },
                    }],
                    brush: {
                        type: ['scatter'],
                    },
                };

                myChart.setOption(option);

                myChart.on('brushSelected', function (params) {
                    const selectedData = [];
                    const brushInfo = params.batch[0];

                    for (const selected of brushInfo.selected) {
                        const indices = selected.dataIndex;
                        for (let i = 0; i < indices.length; i++) {
                            const idx = indices[i];
                            selectedData.push(energyData[idx]);
                        }
                    }

                    console.log('Selected Data Points:', selectedData);
                });
            });
    </script>
</body>
</html>
```"
3,scatterplot+zoom,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region
Your task is to create a Scatterplot that visualizes the relationship between Energy Consumed and Cost. And add the following interactive functions: the Scatterplot can be zoomed via the mouse wheel.
Use the following visualization library: ECharts.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
Hint: You can use the fetch() function to load data.","https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region",ECharts,advanced view,"```html
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Energy Consumption Scatterplot</title>
    <!-- Import ECharts -->
    <script src=""https://cdnjs.cloudflare.com/ajax/libs/echarts/5.3.3/echarts.min.js""></script>
</head>
<body>
    <div id=""scatterChart"" style=""width: 100%; height: 600px;""></div>
    <script>
        // Fetching the data from the provided CSV URL
        fetch('https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv')
            .then(response => response.text())
            .then(data => {
                const rows = data.split('\n').slice(1); // Skip the header
                const energyConsumed = [];
                const cost = [];

                rows.forEach(row => {
                    const columns = row.split(',');
                    if (columns.length > 0) {
                        energyConsumed.push(parseFloat(columns[2])); // Energy Consumed
                        cost.push(parseFloat(columns[3])); // Cost
                    }
                });

                // Initialize ECharts
                const scatterChart = echarts.init(document.getElementById('scatterChart'));

                // Option configuration
                const option = {
                    title: {
                        text: 'Energy Consumed vs Cost'
                    },
                    tooltip: {
                        formatter: function (params) {
                            return `Energy Consumed: ${params.data[0]}<br>Cost: ${params.data[1]}`;
                        }
                    },
                    xAxis: {
                        name: 'Energy Consumed',
                        type: 'value'
                    },
                    yAxis: {
                        name: 'Cost',
                        type: 'value'
                    },
                    series: [{
                        type: 'scatter',
                        symbolSize: 10,
                        data: energyConsumed.map((ec, index) => [ec, cost[index]])
                    }]
                };

                // Set the options
                scatterChart.setOption(option);

                // Enable zooming via mouse wheel
                scatterChart.on('dataZoom', function () {
                    scatterChart.setOption({
                        // Optional: can configure data zoom areas if needed
                    });
                });
            });
    </script>
</body>
</html>
```"
4,scatterplot+tooltip,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region
Your task is to create a Scatterplot with external links and tooltips that visualizes the relationship between Energy Consumed and Cost. And add the following interactive functions: opening a Google search for the point that you click on.
Use the following visualization library: ECharts.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
Hint: You can use the fetch() function to load data.","https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region",ECharts,advanced view,"```html
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Energy Consumption Scatterplot</title>
    <script src=""https://cdn.jsdelivr.net/npm/echarts/dist/echarts.min.js""></script>
</head>
<body>
    <div id=""main"" style=""width: 100%;height:400px;""></div>
    <script>
        fetch('https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv')
            .then(response => response.text())
            .then(data => {
                const rows = data.split('\n').slice(1);
                const energyData = rows.map(row => {
                    const cols = row.split(',');
                    return {
                        month: cols[0],
                        sector: cols[1],
                        energyConsumed: parseFloat(cols[2]),
                        cost: parseFloat(cols[3]),
                        emissions: parseFloat(cols[4]),
                        numberOfPlants: parseInt(cols[5]),
                        revenue: parseFloat(cols[6]),
                        renewable: cols[7],
                        region: cols[8]
                    };
                }).filter(d => !isNaN(d.energyConsumed) && !isNaN(d.cost));

                const chartData = energyData.map(item => [item.energyConsumed, item.cost, item.region, item.month]);

                const myChart = echarts.init(document.getElementById('main'));
                myChart.setOption({
                    tooltip: {
                        trigger: 'item',
                        formatter: function (params) {
                            return `Month: ${params.data[3]}<br>
                                    Energy Consumed: ${params.data[0]}<br>
                                    Cost: ${params.data[1]}<br>
                                    <a href=""https://www.google.com/search?q=${params.data[2]} Energy Consumption"" target=""_blank"">Google Search</a>`;
                        }
                    },
                    xAxis: {
                        type: 'value',
                        name: 'Energy Consumed'
                    },
                    yAxis: {
                        type: 'value',
                        name: 'Cost'
                    },
                    series: [{
                        type: 'scatter',
                        data: chartData,
                        encode: {
                            x: 0,
                            y: 1,
                            tooltip: [0, 1, 2, 3]
                        }
                    }]
                });

                myChart.on('click', function (params) {
                    if (params.componentType === 'series') {
                        window.open(`https://www.google.com/search?q=${params.data[2]} Energy Consumption`, '_blank');
                    }
                });
            });
    </script>
</body>
</html>
```"
5,scatterplot+query widgets,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region
Your task is to create a Scatterplot with query widgets showing the Energy Consumed and Cost of the given dataset. Add a slider to represent the Month.
Use the following visualization library: ECharts.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
Hint: You can use the fetch() function to load data.","https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region",ECharts,advanced view,"```html
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Energy Consumption Scatterplot</title>
    <script src=""https://cdnjs.cloudflare.com/ajax/libs/echarts/5.3.3/echarts.min.js""></script>
    <style>
        #main {
            width: 800px;
            height: 600px;
            margin: 0 auto;
        }
        #month-slider {
            width: 300px;
            margin: 30px auto;
        }
    </style>
</head>
<body>
    <div id=""month-slider""></div>
    <div id=""main""></div>
    <script>
        const url = 'https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv';

        fetch(url)
            .then(response => response.text())
            .then(data => {
                const rows = data.split('\n').slice(1);
                const energyData = rows.map(row => {
                    const cols = row.split(',');
                    return {
                        Month: cols[0],
                        EnergyConsumed: parseFloat(cols[2]),
                        Cost: parseFloat(cols[3])
                    };
                }).filter(item => !isNaN(item.EnergyConsumed) && !isNaN(item.Cost));

                const months = [...new Set(energyData.map(item => item.Month))];
                let selectedMonth = months[0];

                const drawChart = month => {
                    const filteredData = energyData.filter(item => item.Month === month);
                    const option = {
                        title: { text: 'Energy Consumed vs Cost' },
                        tooltip: {},
                        xAxis: {
                            name: 'Energy Consumed',
                            type: 'value'
                        },
                        yAxis: {
                            name: 'Cost',
                            type: 'value'
                        },
                        series: [{
                            symbolSize: 10,
                            data: filteredData.map(item => [item.EnergyConsumed, item.Cost]),
                            type: 'scatter'
                        }]
                    };
                    const chart = echarts.init(document.getElementById('main'));
                    chart.setOption(option);
                };

                drawChart(selectedMonth);

                const slider = document.getElementById('month-slider');
                slider.innerHTML = `<input type=""range"" min=""0"" max=""${months.length - 1}"" value=""0"" id=""monthRange"">`;
                const monthRange = document.getElementById('monthRange');

                monthRange.addEventListener('input', function() {
                    selectedMonth = months[this.value];
                    drawChart(selectedMonth);
                });
            });
    </script>
</body>
</html>
```"
6,scatterplot+animated,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region
Your task is to create a Scatterplot showing the Energy Consumed of Industrial. Add animated transitions that connect these points using lines in order.
Use the following visualization library: ECharts.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
Hint: You can use the fetch() function to load data.","https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region",ECharts,advanced view,"```html
<!DOCTYPE html>
<html>
<head>
    <meta charset=""utf-8"">
    <title>Energy Consumption Scatterplot</title>
    <script src=""https://cdn.jsdelivr.net/npm/echarts/dist/echarts.min.js""></script>
</head>
<body>
    <div id=""main"" style=""width: 100%; height: 600px;""></div>
    <script>
        // Fetching the data
        fetch('https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv')
            .then(response => response.text())
            .then(data => {
                const rows = data.split('\n').slice(1); // Skip header row
                const points = [];

                rows.forEach(row => {
                    const columns = row.split(',');
                    if (columns[1] === 'Industrial') {
                        points.push({
                            month: columns[0],
                            energyConsumed: parseFloat(columns[2]),
                            revenue: parseFloat(columns[6])
                        });
                    }
                });

                // Scatterplot configuration
                const chartDom = document.getElementById('main');
                const myChart = echarts.init(chartDom);

                myChart.setOption({
                    title: {
                        text: 'Energy Consumption of Industrial Sector'
                    },
                    xAxis: {
                        type: 'category',
                        data: points.map(point => point.month)
                    },
                    yAxis: {
                        type: 'value',
                        name: 'Energy Consumed (units)'
                    },
                    series: [{
                        type: 'scatter',
                        data: points.map(point => [point.month, point.energyConsumed]),
                        animation: true,
                        lineStyle: {
                            normal: {
                                width: 2,
                                type: 'solid'
                            }
                        },
                        emphasis: {
                            label: {
                                show: true,
                                formatter: function(params) {
                                    return `${params.value[0]}: ${params.value[1]} units`;
                                }
                            }
                        },
                        smooth: true
                    }]
                });

                // Add animated transition
                myChart.on('finished', function() {
                    myChart.setOption({
                        series: [{
                            type: 'line',
                            data: points.map(point => [point.month, point.energyConsumed]),
                            smooth: true
                        }]
                    });
                });
            });
    </script>
</body>
</html>
```"
7,line chart+highlight,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region
Your task is to create a multi-series Line Chart with an interactive line highlight showing the Energy Consumed of the given dataset. Add the following interaction function: when the mouse is hovered over a line, the line will be highlighted.
Use the following visualization library: ECharts.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
Hint: You can use the fetch() function to load data.","https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region",ECharts,advanced view,"```html
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Energy Consumption Multi-Series Line Chart</title>
    <script src=""https://cdn.jsdelivr.net/npm/echarts/dist/echarts.min.js""></script>
</head>
<body>
    <div id=""main"" style=""width: 100%; height: 600px;""></div>

    <script>
        fetch('https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv')
            .then(response => response.text())
            .then(data => {
                const rows = data.split('\n').slice(1).filter(row => row);
                const monthSet = new Set();
                const seriesData = {};
                
                rows.forEach(row => {
                    const columns = row.split(',');
                    const month = columns[0].trim();
                    const energySector = columns[1].trim();
                    const energyConsumed = parseFloat(columns[2].trim());

                    monthSet.add(month);
                    if (!seriesData[energySector]) {
                        seriesData[energySector] = [];
                    }
                    seriesData[energySector].push(energyConsumed);
                });

                const months = Array.from(monthSet);

                const series = Object.keys(seriesData).map(sector => ({
                    name: sector,
                    type: 'line',
                    data: seriesData[sector],
                    smooth: true,
                    emphasis: {
                        lineStyle: {
                            width: 4
                        }
                    }
                }));

                const option = {
                    title: {
                        text: 'Energy Consumed by Sector'
                    },
                    tooltip: {
                        trigger: 'axis'
                    },
                    legend: {
                        data: Object.keys(seriesData)
                    },
                    xAxis: {
                        type: 'category',
                        data: months
                    },
                    yAxis: {
                        type: 'value',
                        name: 'Energy Consumed (MWh)'
                    },
                    series: series
                };

                const myChart = echarts.init(document.getElementById('main'));
                myChart.setOption(option);
            });
    </script>
</body>
</html>
```"
8,bar chart+zoom,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region
Your task is to create a Bar Chart that visualizes the Energy Consumed for each Energy Sector in January. And add the following interactive functions: scroll the mouse wheel to zoom the Bar Chart, click the left mouse button and drag to pan the Bar Chart.
Use the following visualization library: ECharts.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
Hint: You can use the fetch() function to load data.","https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region",ECharts,advanced view,"```html
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Energy Consumption Bar Chart</title>
    <script src=""https://cdn.rawgit.com/ecomfe/echarts/master/dist/echarts.min.js""></script>
</head>
<body>
    <div id=""chart"" style=""width: 100%; height: 600px;""></div>
    <script>
        fetch('https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv')
            .then(response => response.text())
            .then(data => {
                const rows = data.split('\n').slice(1);
                const energyData = [];

                rows.forEach(row => {
                    const cols = row.split(',');
                    if (cols[0] === ""January"") {
                        energyData.push({
                            energySector: cols[1],
                            energyConsumed: parseFloat(cols[2])
                        });
                    }
                });

                const sectors = energyData.map(item => item.energySector);
                const consumedValues = energyData.map(item => item.energyConsumed);

                const chartDom = document.getElementById('chart');
                const myChart = echarts.init(chartDom);
                const option = {
                    title: {
                        text: 'Energy Consumption by Sector in January'
                    },
                    tooltip: {},
                    xAxis: {
                        type: 'category',
                        data: sectors
                    },
                    yAxis: {
                        type: 'value'
                    },
                    series: [{
                        name: 'Energy Consumed',
                        type: 'bar',
                        data: consumedValues
                    }],
                    dataZoom: [
                        {
                            type: 'inside'
                        },
                        {
                            type: 'slider'
                        }
                    ],
                    grid: {
                        bottom: '20%'
                    }
                };

                myChart.setOption(option);
            });
    </script>
</body>
</html>
```"
9,bar chart+drag,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region
Your task is to create a Bar Chart that visualizes the Energy Consumed for each Energy Sector in January. Add the following interactive functions: allows users to drag and drop bars to reorder them, enabling a customized arrangement based on user preferences.
Use the following visualization library: ECharts.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
Hint: You can use the fetch() function to load data.","https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region",ECharts,advanced view,"```html
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Energy Consumption by Sector in January</title>
    <script src=""https://cdn.jsdelivr.net/npm/echarts/dist/echarts.min.js""></script>
    <style>
        #chart {
            width: 100%;
            height: 500px;
        }
    </style>
</head>
<body>
    <div id=""chart""></div>
    <script>
        async function fetchData() {
            const response = await fetch('https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv');
            const data = await response.text();
            return data.split('\n').slice(1).map(row => {
                const [
                    month, energySector, energyConsumed, cost, emissions, numberOfPlants, revenue, renewable, region
                ] = row.split(',');
                return { month, energySector, energyConsumed: +energyConsumed, cost: +cost, emissions: +emissions, numberOfPlants: +numberOfPlants, revenue: +revenue, renewable, region };
            }).filter(item => item.month === 'January');
        }

        async function initChart() {
            const data = await fetchData();
            const sectors = data.map(item => item.energySector);
            const energyConsumed = data.map(item => item.energyConsumed);

            const chart = echarts.init(document.getElementById('chart'));

            const option = {
                title: {
                    text: 'Energy Consumed by Sector in January',
                },
                tooltip: {},
                xAxis: {
                    type: 'category',
                    data: sectors,
                    axisLabel: {
                        interval: 0,
                    },
                },
                yAxis: {
                    type: 'value',
                },
                series: [{
                    name: 'Energy Consumed',
                    type: 'bar',
                    data: energyConsumed,
                    draggable: true,
                }],
                graphic: {
                    type: 'text',
                    left: 'center',
                    top: 'center',
                    style: {
                        text: 'Drag and drop the bars to reorder them',
                        font: 'bold 20px Microsoft YaHei',
                        fill: '#aaa',
                    },
                },
            };

            chart.setOption(option);

            chart.on('dragend', (params) => {
                if (params.componentType === 'series') {
                    const newOrder = params.dataIndex;
                    console.log('New Order:', newOrder);
                    // Update data based on new order if desired
                }
            });

            window.addEventListener('resize', chart.resize);
        }

        initChart();
    </script>
</body>
</html>
```"
10,bar chart+animated,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region
Your task is to create a Bar Chart that visualizes the Energy Consumed for each Energy Sector in January. Add animated transitions and use the drop-down menu to change the sorting order to ascending or descending based on the Energy Consumed.
Use the following visualization library: ECharts.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
Hint: You can use the fetch() function to load data.","https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv

The data table contains the following columns: Month,Energy Sector,Energy Consumed,Cost,Emissions,Number of Plants,Revenue,Renewable,Region",ECharts,advanced view,"```html
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Energy Consumption Bar Chart</title>
    <script src=""https://cdn.jsdelivr.net/npm/echarts/dist/echarts.min.js""></script>
</head>
<body>
    <select id=""sortOrder"" onchange=""updateChart()"">
        <option value=""asc"">Sort Ascending</option>
        <option value=""desc"">Sort Descending</option>
    </select>
    <div id=""chart"" style=""width: 100%; height: 500px;""></div>

    <script>
        let chartDom = document.getElementById('chart');
        let myChart = echarts.init(chartDom);
        let energyData = [];

        fetch('https://gist.githubusercontent.com/FFFFFancy/3e34a80e89af1e76f63395c9291c4ee0/raw/a06c868ec717470254ddc4dd9f950414d50d82e9/Energy%2520Consumption.csv')
            .then(response => response.text())
            .then(data => {
                const rows = data.split('\n').slice(1);
                rows.forEach(row => {
                    const cols = row.split(',');
                    if (cols[0] === 'January') {
                        energyData.push({
                            sector: cols[1],
                            consumed: parseFloat(cols[2])
                        });
                    }
                });
                updateChart();
            });

        function updateChart() {
            const sortOrder = document.getElementById('sortOrder').value;
            const sortedData = [...energyData].sort((a, b) => sortOrder === 'asc' ? a.consumed - b.consumed : b.consumed - a.consumed);
            const sectors = sortedData.map(d => d.sector);
            const consumed = sortedData.map(d => d.consumed);

            const option = {
                title: {
                    text: 'Energy Consumed by Sector in January',
                    subtext: 'Bar Chart with Sorting',
                    left: 'center'
                },
                xAxis: {
                    type: 'category',
                    data: sectors
                },
                yAxis: {
                    type: 'value'
                },
                series: [{
                    name: 'Energy Consumed',
                    type: 'bar',
                    data: consumed,
                    animationDuration: 1000,
                }],
                tooltip: {
                    trigger: 'axis',
                    axisPointer: {
                        type: 'shadow'
                    }
                }
            };

            myChart.setOption(option);
        }
    </script>
</body>
</html>
```"
