Prompt Number,title,Prompt,dataset,library,view_type,response
1,scatterplot,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.
Your task is to create a Scatterplot that visualizes the relationship between Domestic Consumption and Exports.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.",Vega-Lite,static view,"```html
<!DOCTYPE html>
<html>
<head>
    <title>Coffee Consumption Scatterplot</title>
    <script src=""https://cdn.jsdelivr.net/npm/vega@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6""></script>
</head>
<body>
<div id=""vis""></div>

<script>
    const spec = {
        ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
        ""width"": 800,
        ""height"": 600,
        ""title"": {
            ""text"": [""Relationship between Domestic Coffee Consumption and Exports""],
            ""fontSize"": 18,
            ""anchor"": ""middle""
        },
        ""data"": {
            ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv"",
            ""formatType"" : null
        },
        ""mark"": {""type"" : ""point"", 
                 tooltip : true},
        
       encoding : {
           x : { 
               field : 'Domestic Consumption',
               type : 'quantitative',
               title : 'Domestic Coffee Consumption'
           },
           y : { 
               field : 'Exports',
               type : 'quantitative',
               title : 'Coffee Exports'
           }
       }
   };

   vegaEmbed('#vis', spec);
</script>

</body>
</html>
```"
2,line chart,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.
Your task is to create a Line Chart that visualizes the trend of Domestic Consumption over the Year for each Country.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.",Vega-Lite,static view,"```html
<!DOCTYPE html>
<html>
<head>
    <title>Coffee Consumption Line Chart</title>
    <script src=""https://cdn.jsdelivr.net/npm/vega@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6""></script>
</head>
<body>
<div id=""vis""></div>

<script>
    const spec = {
        ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
        ""width"": 800,
        ""height"": 600,
        ""data"": {
            ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv""
        },
        ""mark"": {
            ""type"": ""line"",
            ""point"": true
        },
        ""encoding"": {
            ""x"": {
                ""field"": ""Year"",
                ""type"": ""temporal""
            },
            ""y"": {
                ""field"": ""Domestic Consumption"",
                ""type"": ""quantitative""
            },
            ""color"": {
                ""field"": ""Country"",
                ""type"": ""nominal""
            }
        }
    };

    vegaEmbed('#vis', spec);
</script>
</body>
</html>
```"
3,bar chart,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.
Your task is to create a Bar Chart that visualizes the Domestic Consumption for each Country in 2017.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.",Vega-Lite,static view,"```html
<!DOCTYPE html>
<html>
<head>
    <title>Coffee Consumption Bar Chart</title>
    <script src=""https://cdn.jsdelivr.net/npm/vega@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6""></script>
</head>
<body>
<div id=""vis""></div>

<script>
    const spec = {
        ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
        ""data"": {
            ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv""
        },
        ""transform"": [
            {""filter"": {""field"": ""Year"", ""equal"": {""value"": 2017}}}
        ],
        ""mark"": {""type"":""bar""},
        ""encoding"":{
            ""x"":{
                ""field"":""Country"",
                ""type"":""nominal""
            },
            ""y"":{
                ""field"":""Domestic Consumption"",
                ""type"":""quantitative""
            }
        }
    };

    vegaEmbed('#vis', spec);
</script>
</body>
</html>
```"
4,pie chart,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.
Your task is to create a Pie Chart that visualizes the proportion of Domestic Consumption contributed by each Country in 2017.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.",Vega-Lite,static view,"```html
<!DOCTYPE html>
<html>
<head>
    <title>Coffee Consumption Pie Chart</title>
    <script src=""https://cdn.jsdelivr.net/npm/vega@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6""></script>
</head>
<body>
<div id=""vis""></div>

<script>
    const spec = {
        ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
        ""data"": {
            ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv""
        },
        ""transform"": [
            {""filter"": {""field"": ""Year"", ""equal"": {""value"": 2017}}}
        ],
        ""mark"": {""type"": ""arc""},
        ""encoding"": {
            ""theta"": {
                ""field"": ""Domestic Consumption"",
                ""type"": ""quantitative""
            },
            ""color"": {
                ""field"": ""Country"",
                ""_type_hint_type_string_type_string_type_string_type_string_"":""nominal""}
          }
      };

      vegaEmbed(""#vis"", spec);
</script>

</body>
</html>
```"
5,donut chart,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.
Your task is to create a Donut Chart that visualizes the distribution of Domestic Consumption among Country in 2017.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.",Vega-Lite,static view,"```html
<!DOCTYPE html>
<html>
<head>
    <title>Coffee Consumption Donut Chart</title>
    <script src=""https://cdn.jsdelivr.net/npm/vega@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6""></script>
</head>

<body>
<div id=""vis""></div>

<script>
    vegaEmbed('#vis', {
        ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
        ""data"": {
            ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv""
        },
        ""transform"": [
            {""filter"": {""field"": ""Year"", ""equal"": {""value"": 2017}}},
            {""calculate"": ""(datum['Domestic Consumption'] / sum(datum['Domestic Consumption'])) * 100"", 
             ""as"" : ""% of Total""}
        ],
        ""mark"" : {""type"" : ""arc""},
        ""encoding"" : {
            ""theta"" : {
                ""field"" : ""% of Total"",
                ""type"" : ""quantitative""
            },
            ""color"" : {
                ""field"" : ""Country"",
                ""_invalidValuesBehavior"":""ignore"",
                ""_predicatePushdown"":""true"",
                ""_optimizePredicatePushdown"":""true"",
                 ""_optimizeGroupByPushdown"":""true"",
                 ""_optimizeDistinctPushdown"":""true"",
                 ""_optimizeAggregateOpPushdown"":""true"",
                 ""_optimizeFilterOpPushdown"":""true"",
                 ""_optimizeSortOpPushdown"":""false"",
                  _optimizeWindowOpPushdown:""false"",
                  _optimizeJoinOpPushdown:""false"",
                  _optimizeSetOpPushdown:""false"",
                  _softLimitOutputClauseSize:""10000"",
                   type :""nominal""
               }
           },
           view:{strokeOpacity:""0""}
       })
       .then(result => console.log(result))
       .catch(console.error);
   </script>

</body>

</html>

```"
6,coxcomb chart,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.
Your task is to create a Coxcomb Chart(polar area chart) to compare the Domestic Consumption of different Country in 2017.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.",Vega-Lite,static view,"```html
<!DOCTYPE html>
<html>
<head>
    <title>Coxcomb Chart</title>
    <script src=""https://cdn.jsdelivr.net/npm/vega@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6""></script>
</head>
<body>
<div id=""vis""></div>

<script>
    vegaEmbed('#vis', {
        ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
        ""data"": {
            ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv""
        },
        ""transform"": [
            {""filter"": {""field"": ""Year"", ""equal"": {""value"": 2017}}},
            {""calculate"": ""(datum['Domestic Consumption'] / PI()) * -180"", ""as"": ""_angle""},
            {""calculate"": ""(datum['Domestic Consumption'] / PI()) * -180"", ""as"": ""_endAngle""}
        ],
        ""encoding"": {
            ""theta"": {
                ""field"": ""_endAngle"",
                ""type"": ""quantitative"",
                ""scale"": {
                    ""domainMin"":-180,
                    ""domainMax"":-0,
                    }
                },
            },
        
         mark:{
           type:""arc"",
           innerRadius:""50%"",
           outerRadius:""100%"",
         },

         layer:[
          {
              mark:{type:""arc"",innerRadius:""50%"",outerRadius:""100%""},
              encoding:{
                  theta:{field:""_endAngle"",type:""quantitative""},
                  color:{field:""Country"",legend:null,type:""nominal""}
              }
          },{
              mark:{type:""text"",radiusOffset:-10},
              encoding:{
                  theta:{field:""_angle"",type:""quantitative""},
                  text:{field:""Country""}
              }
          },{
               mark:{type:""text"",radiusOffset:-30},
               encoding:{
                   theta:{field:""_angle"",type:""quantitative""},
                   text:{aggregate:'sum', field:'Domestic Consumption'}
               }
           }]
}).then(function(result) {}).catch(console.error);
</script>

</body>
</html>

```"
7,radar chart,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.
Your task is to create a Radar Chart to compare the Domestic Consumption of different Country in 2017.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.",Vega-Lite,static view,"<!DOCTYPE html>
<html>
<head>
  <title>Coffee Consumption Radar Chart</title>
  <script src=""https://cdn.jsdelivr.net/npm/vega@5""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-lite@4""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6""></script>
</head>

<body>

<div id=""vis""></div>

<script type=""text/javascript"">
    var yourVlSpec = {
      ""$schema"": ""https://vega.github.io/schema/vega-lite/v4.json"",
      ""data"": {
        ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv""
      },
      ""transform"": [
        {""filter"": {""field"": ""Year"", ""equal"": {""value"": 2017}}},
        {
          ""pivot"": [""Country""],
          ""value"": [""Domestic Consumption""],
          ""groupby"" : [""Country""]
        }
      ],
    	""mark"" : {""type"":""line"", 
                	""point"":{""size"":""100""},
                	""interpolate"":""linear-closed""
                },
    	""encoding"":{
    		""x"":{""field"":""Country"",""type"":""nominal""},
    		""y"":{""field"":""Domestic Consumption"",""type"":""quantitative""},
    		""color"":{""field"":"""",""datum"":"""",""type"":""""},
    		""tooltip"":[{
    		        	   		             		             		             		             			          			          			          			          				                   				                   				                   				                   {""field"":"""",
    			           						            							            							            							            							            							              					              					              					              					              					                  {""field"":"""",
    			           						            							            							            							            							            								                      },
    			           						            		            		            		            		            		            		                     ],
    		           						            	            
    		           						            	            
    		           						            	            
    		           						            	            
    		  }
    };
    vegaEmbed('#vis', yourVlSpec);
</script>

</body>

</html>"
8,streamgraph,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.
Your task is to create a Streamgraph that visualizes the changes of Domestic Consumption over the Year for each Country.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.",Vega-Lite,static view,"```html
<!DOCTYPE html>
<html>
<head>
    <title>Coffee Consumption Streamgraph</title>
    <script src=""https://cdn.jsdelivr.net/npm/vega@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6""></script>
</head>
<body>
<div id=""vis""></div>

<script>
    vegaEmbed('#vis', {
        ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
        ""data"": {
            ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv""
        },
        ""mark"": {""type"": ""area"", ""interpolate"": ""monotone""},
        ""encoding"": {
            ""x"": {""field"": ""Year"", ""type"": ""temporal""},
            ""y"": {""field"": ""-Domestic Consumption"", 
                  ""_offsetsToZero"" : true,
                  ""_stack"" : true,
                  ""_impute"" : true,
                  ""_imputeConfig"" : { 
                    ""_imputeType"" : { 
                      ""_imputeMethod"" : { 
                        ""_missingValueEncodings"" : {}}}},  
                 },
            ""_offsetsToZero"" : true,
            ""_stack"" : true,
            ""_imputeConfig"":{""_imputeType"":""mean""},  
             color:{ field:""Country""}
          }
      }).then(function(result) {}).catch(console.error);
</script>

</body>
</html>

```"
9,slopegraph,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.
Your task is to create a Slopegraph to compare the Domestic Consumption between 2018 and 2019 for each Country.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.",Vega-Lite,static view,"```html
<!DOCTYPE html>
<html>
<head>
    <title>Slopegraph of Coffee Consumption</title>
    <script src=""https://cdn.jsdelivr.net/npm/vega@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6""></script>
</head>

<body>
<div id=""vis""></div>

<script type=""text/javascript"">
      const vlSpec = {
        ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
        ""data"": {
          ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv""
        },
        ""mark"": ""line"",
        ""transform"":[{
          ""filter"":""datum.Year==2018 || datum.Year==2019""
        }],
       'encoding':{
         'x':{'field':'Year'},
         'y':{'field':'Domestic Consumption'},
         'color':{'field':'Country'}
       },
      };

      const opt = {
            renderer: 'canvas',
            container:""#vis""// mandatory   
     };

      vegaEmbed(""#vis"",vlSpec,opt);
      
</script>

</body>
</html> 
```"
10,heatmap,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.
Your task is to create a Heatmap that visualizes the Domestic Consumption across Country and Years.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv

The data table contains the following columns: Year, Country, Domestic Consumption,Exports,Import Price,Export Price,Total Production.",Vega-Lite,static view,"```html
<!DOCTYPE html>
<html>
<head>
    <title>Coffee Consumption Heatmap</title>
    <script src=""https://cdn.jsdelivr.net/npm/vega@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5""></script>
    <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6""></script>
</head>

<body>
<div id=""vis""></div>

<script>
    const spec = {
        ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
        ""data"": {
            ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8401c4fbc9fa979f342598b002449931/raw/9cb3aef8b2bfe83a01e218193b6e03e8b89b5884/Coffee%2520Consumption.csv""
        },
        ""mark"": {""type"": ""rect"", 
                 tooltip:true},
        ""encoding"": {
            ""x"": {""field"": ""Year"", 
                  sort:""ascending""},
            ""y"": {""field"": ""Country""},
            ""color"": {
                ""field"": ""Domestic Consumption"",
                legend:{orient:""bottom""}
            }
        },
         config:{
           view:{step:""40""}
         }
    };

    vegaEmbed(""#vis"", spec);
</script>

</body>

</html>
```"
