Prompt Number,title,Prompt,dataset,library,view_type,response
1,scatterplot+highlight,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score
Your task is to create a Scatterplot that visualizes the relationship between Adoption Rate and Investment. And add the following interactive function: when the mouse hovers over a specific data point, the value of the data point will be highlighted on the axis.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score",Vega-Lite,advanced view,"```html
<!DOCTYPE html>
<html>
<head>
  <title>Technology Adoption Scatterplot</title>
  <script src=""https://cdn.jsdelivr.net/npm/vega@5.22.1""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5.6.0""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6.21.0""></script>
</head>
<body>
  <div id=""vis""></div>
  <script>
    const spec = {
      ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
      ""data"": {
        ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv""
      },
      ""mark"": {
        ""type"": ""point"",
        ""tooltip"": true
      },
      ""encoding"": {
        ""x"": {
          ""field"": ""Investment"",
          ""type"": ""quantitative"",
          ""axis"": {
            ""labelOverlap"": ""greedy""
          }
        },
        ""y"": {
          ""field"": ""Adoption Rate"",
          ""type"": ""quantitative"",
          ""axis"": {
            ""labelOverlap"": ""greedy""
          }
        }
      },
      ""config"": {
        ""axis"": {
          ""grid"": true
        }
      }
    };

    vegaEmbed('#vis', spec).then(function(result) {
      // result.view is the Vega view
    }).catch(console.error);
  </script>
</body>
</html>
```"
2,scatterplot+brush,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score
Your task is to create a Scatterplot that visualizes the relationship between Adoption Rate and Investment. And add the following interactive functions: Brushing this Scatterplot will show the selected data points.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score",Vega-Lite,advanced view,"```html
<!DOCTYPE html>
<html>
<head>
  <title>Technology Adoption Scatterplot</title>
  <script src=""https://cdn.jsdelivr.net/npm/vega@5.22.1""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5.6.0""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6.21.0""></script>
</head>
<body>
  <div id=""vis""></div>
  <script>
    const spec = {
      ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
      ""data"": {
        ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv"",
        ""format"": {""type"": ""csv""}
      },
      ""mark"": ""point"",
      ""selection"": {
        ""brush"": {""type"": ""interval"", ""encodings"": [""x""]}
      },
      ""encoding"": {
        ""x"": {""field"": ""Investment"", ""type"": ""quantitative""},
        ""y"": {""field"": ""Adoption Rate"", ""type"": ""quantitative""},
        ""opacity"": {
          ""condition"": {""selection"": ""brush"", ""value"": 1},
          ""value"": 0.2
        }
      }
    };

    vegaEmbed(""#vis"", spec);
  </script>
</body>
</html>
```"
3,scatterplot+zoom,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score
Your task is to create a Scatterplot that visualizes the relationship between Adoption Rate and Investment. And add the following interactive functions: the Scatterplot can be zoomed via the mouse wheel.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score",Vega-Lite,advanced view,"```html
<!DOCTYPE html>
<html>
<head>
  <title>Technology Adoption Scatterplot</title>
  <script src=""https://cdn.jsdelivr.net/npm/vega@5.22.1""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5.6.0""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6.21.0""></script>
</head>
<body>
  <div id=""vis""></div>
  <script>
    const spec = {
      ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
      ""data"": {
        ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv"",
        ""format"": {""type"": ""csv""}
      },
      ""mark"": ""point"",
      ""encoding"": {
        ""x"": {""field"": ""Investment"", ""type"": ""quantitative""},
        ""y"": {""field"": ""Adoption Rate"", ""type"": ""quantitative""}
      },
      ""width"": 800,
      ""height"": 600,
      ""config"": {
        ""view"": {
          ""stroke"": ""transparent""
        }
      }
    };

    const opt = {
      ""renderer"": ""canvas"",
      ""actions"": {
        ""zoom"": true,
        ""pan"": true,
        ""hover"": true
      }
    };

    vegaEmbed(""#vis"", spec, opt);
  </script>
</body>
</html>
```"
4,scatterplot+tooltip,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score
Your task is to create a Scatterplot with external links and tooltips that visualizes the relationship between Adoption Rate and Investment. And add the following interactive functions: opening a Google search for the point that you click on.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score",Vega-Lite,advanced view,"<!DOCTYPE html>
<html>
<head>
  <title>Scatterplot with External Links and Tooltips</title>
  <script src=""https://cdn.jsdelivr.net/npm/vega@5""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-lite@4""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6""></script>
</head>

<body>

<div id=""vis"" style=""width:800px;height:600px;""></div>

<script type=""text/javascript"">
    var yourVlSpec = {
      ""$schema"": ""https://vega.github.io/schema/vega-lite/v4.json"",
      ""data"": {
        ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv""
      },
      ""mark"": {""type"": ""point"", ""tooltip"": true},
      encoding: {
        x: {field: 'Adoption Rate', type: 'quantitative'},
        y: {field: 'Investment', type: 'quantitative'},
        tooltip:[
          {""field"":""Year"",""type"":""nominal""},
          {""field"":""Technology Type"",""type"":""nominal""},
          {""field"":""Return on Investment"",""type"":""quantitative""},
          {""field"":""Number of Users"",""type"":""quantitative""},
          {""field"":""Market Share"",""type"":""quantitative""},
          {""field "":""Customer Satisfaction Score "",""type "":"" quantitative""}
         ]
       }
     };

    vegaEmbed('#vis', yourVlSpec);
</script>

</body></html>"
5,scatterplot+query widgets,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score
Your task is to create a Scatterplot with query widgets showing the Adoption Rate and Investment of the given dataset. Add a slider to represent the Year.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score",Vega-Lite,advanced view,"```html
<!DOCTYPE html>
<html>
<head>
  <title>Technology Adoption Scatterplot</title>
  <script src=""https://cdn.jsdelivr.net/npm/vega@5.22.1""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5.6.0""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6.21.0""></script>
</head>
<body>
  <div id=""vis""></div>
  <script>
    const spec = {
      ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
      ""data"": {
        ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv""
      },
      ""mark"": ""point"",
      ""encoding"": {
        ""x"": {
          ""field"": ""Adoption Rate"",
          ""type"": ""quantitative""
        },
        ""y"": {
          ""field"": ""Investment"",
          ""type"": ""quantitative""
        },
        ""color"": {
          ""field"": ""Technology Type"",
          ""type"": ""nominal""
        }
      },
      ""selection"": {
        ""Year"": {
          ""type"": ""single"",
          ""fields"": [""Year""],
          ""bind"": {
            ""input"": ""range"",
            ""min"": 2010,
            ""max"": 2020,
            ""step"": 1
          }
        }
      },
      ""transform"": [
        {
          ""filter"": {
            ""selection"": ""Year""
          }
        }
      ]
    };

    vegaEmbed('#vis', spec);
  </script>
</body>
</html>
```"
6,scatterplot+animated,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score
Your task is to create a Scatterplot showing the Adoption Rate of Cloud Computing. Add animated transitions that connect these points using lines in order.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score",Vega-Lite,advanced view,"<!DOCTYPE html>
<html>
<head>
  <title>Scatterplot with Animated Transitions</title>
  <script src=""https://cdn.jsdelivr.net/npm/vega@5""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-lite@4""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6""></script>
</head>

<body>

<div id=""vis""></div>

<script>

const spec = {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v4.json"",
  ""data"": {
    ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv""
  },
  
""transform"": [
    {""filter"": {""field"": ""Technology Type"", ""oneOf"": [""Cloud Computing""]}}
],
  
""mark"": {
    ""type"":""line"",
    ""point"":{
      ""filled"":""true""
      }
},
  
""encoding"":{
""x"":{""field"":""Year"",""type"":""temporal""},
""y"":{""field"":""Adoption Rate"",""type"":""quantitative""}
},
  
""title"":{
""text"":[""Adoption Rate of Cloud Computing""],
""subtitle"":[""From Year to Adoption Rate""]
}
};

const opt = { renderer: 'svg' };

const view = vegaEmbed('#vis', spec, opt);

</script>

</body>

</html>"
7,line chart+highlight,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score
Your task is to create a multi-series Line Chart with an interactive line highlight showing the Adoption Rate of the given dataset. Add the following interaction function: when the mouse is hovered over a line, the line will be highlighted.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score",Vega-Lite,advanced view,"```html
<!DOCTYPE html>
<html>
<head>
  <title>Technology Adoption Rate</title>
  <script src=""https://cdn.jsdelivr.net/npm/vega@5.22.1""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5.6.0""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6.21.0""></script>
</head>
<body>
  <div id=""vis""></div>
  <script>
    const spec = {
      ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
      ""data"": {
        ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv""
      },
      ""mark"": {
        ""type"": ""line"",
        ""point"": true
      },
      ""encoding"": {
        ""x"": {
          ""field"": ""Year"",
          ""type"": ""temporal""
        },
        ""y"": {
          ""field"": ""Adoption Rate"",
          ""type"": ""quantitative""
        },
        ""color"": {
          ""field"": ""Technology Type"",
          ""type"": ""nominal""
        }
      },
      ""selection"": {
        ""highlight"": {
          ""type"": ""single"",
          ""on"": ""mouseover"",
          ""empty"": ""none""
        }
      },
      ""config"": {
        ""mark"": {
          ""invalid"": null
        }
      }
    };

    const opt = {
      ""renderer"": ""canvas"",
      ""actions"": false
    };

    vegaEmbed(""#vis"", spec, opt);
  </script>
</body>
</html>
```"
8,bar chart+zoom,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score
Your task is to create a Bar Chart that visualizes the Adoption Rate for each Technology Type in 2020. And add the following interactive functions: scroll the mouse wheel to zoom the Bar Chart, click the left mouse button and drag to pan the Bar Chart.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score",Vega-Lite,advanced view,"```html
<!DOCTYPE html>
<html>
<head>
  <title>Technology Adoption Rate in 2020</title>
  <script src=""https://cdn.jsdelivr.net/npm/vega@5.22.1""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5.6.0""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6.21.0""></script>
</head>
<body>
  <div id=""vis""></div>
  <script>
    const spec = {
      ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
      ""data"": {
        ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv"",
        ""format"": {""type"": ""csv""}
      },
      ""transform"": [
        {""filter"": ""datum.Year == 2020""}
      ],
      ""mark"": ""bar"",
      ""encoding"": {
        ""x"": {""field"": ""Technology Type"", ""type"": ""nominal""},
        ""y"": {""field"": ""Adoption Rate"", ""type"": ""quantitative""}
      },
      ""width"": 800,
      ""height"": 600
    };

    const opt = {
      ""renderer"": ""canvas"",
      ""actions"": {
        ""zoom"": true,
        ""pan"": true
      }
    };

    vegaEmbed(""#vis"", spec, opt);
  </script>
</body>
</html>
```"
9,bar chart+drag,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score
Your task is to create a Bar Chart that visualizes the Adoption Rate for each Technology Type in 2020. Add the following interactive functions: allows users to drag and drop bars to reorder them, enabling a customized arrangement based on user preferences.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score",Vega-Lite,advanced view,"```html
<!DOCTYPE html>
<html>
<head>
  <title>Technology Adoption Rate Bar Chart</title>
  <script src=""https://cdn.jsdelivr.net/npm/vega@5.22.1""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5.6.0""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6.21.0""></script>
</head>
<body>
  <div id=""vis""></div>
  <script>
    const spec = {
      ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
      ""data"": {
        ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv"",
        ""format"": {""type"": ""csv""}
      },
      ""transform"": [
        {""filter"": ""datum.Year == 2020""}
      ],
      ""mark"": {""type"": ""bar"", ""tooltip"": true},
      ""encoding"": {
        ""x"": {""field"": ""Technology Type"", ""type"": ""nominal"", ""sort"": ""-y""},
        ""y"": {""field"": ""Adoption Rate"", ""type"": ""quantitative""},
        ""color"": {""field"": ""Technology Type"", ""type"": ""nominal""}
      },
      ""config"": {
        ""bar"": {
          ""cursor"": ""move""
        }
      }
    };

    const opt = {
      ""renderer"": ""canvas"",
      ""actions"": {
        ""export"": true,
        ""source"": false,
        ""editor"": false
      }
    };

    const handler = new vegaTooltip.Handler();

    vegaEmbed(""#vis"", spec, opt).then(function(result) {
      handler.call(result.view, result.view);
    }).catch(console.error);
  </script>
  <style>
    /* Add some basic styling to make the visualization look better */
    #vis {
      width: 800px;
      height: 600px;
      border: 1px solid lightgray;
    }
  </style>
</body>
</html>
```"
10,bar chart+animated,"Now you have the dataset in CSV format: https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score
Your task is to create a Bar Chart that visualizes the Adoption Rate for each Technology Type in 2020. Add animated transitions and use the drop-down menu to change the sorting order to ascending or descending based on the Adoption Rate.
Use the following visualization library: Vega-Lite.
Use the following format:
code: (The code should be complete. And the HTML structure and code should be merged together.)
Please provide only the codes written in the specified library with no other words.
You can use ""data"": { ""url"": } format to load data. Ensure that all libraries (e.g., Vega, Vega-Lite, Vega-Embed) are compatible versions to prevent runtime issues. ","https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv

The data table contains the following columns: Year,Technology Type,Adoption Rate,Investment,Return on Investment,Number of Users,Market Share,Customer Satisfaction Score",Vega-Lite,advanced view,"```html
<!DOCTYPE html>
<html>
<head>
  <title>Technology Adoption Rate</title>
  <script src=""https://cdn.jsdelivr.net/npm/vega@5.22.1""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-lite@5.6.0""></script>
  <script src=""https://cdn.jsdelivr.net/npm/vega-embed@6.21.0""></script>
</head>
<body>
  <div id=""vis""></div>
  <script>
    const spec = {
      ""$schema"": ""https://vega.github.io/schema/vega-lite/v5.json"",
      ""data"": {
        ""url"": ""https://gist.githubusercontent.com/FFFFFancy/8729038f70c9d0e839a3b65ffafd7cc6/raw/05448a679e012033b12b752057ad475e800f6d77/Technology%2520Adoption.csv"",
        ""format"": {""type"": ""csv""}
      },
      ""transform"": [
        {""filter"": ""datum.Year == 2020""}
      ],
      ""params"": [
        {
          ""name"": ""sortOrder"",
          ""value"": ""descending"",
          ""bind"": {
            ""input"": ""select"",
            ""options"": [""ascending"", ""descending""]
          }
        }
      ],
      ""mark"": ""bar"",
      ""encoding"": {
        ""x"": {
          ""field"": ""Technology Type"",
          ""type"": ""nominal"",
          ""sort"": {
            ""field"": ""Adoption Rate"",
            ""order"": {""expr"": ""sortOrder""}
          }
        },
        ""y"": {
          ""field"": ""Adoption Rate"",
          ""type"": ""quantitative""
        }
      },
      ""transition"": {
        ""duration"": 500
      }
    };

    vegaEmbed('#vis', spec);
  </script>
</body>
</html>
```"
